candidate_policy,reference_policy,candidate_budget,reference_budget,delta_policy_value,delta_policy_value_ci_low,delta_policy_value_ci_high,policy_value_bootstrap_fraction_positive,policy_value_conclusion,delta_incremental_per_1000_targeted,delta_incremental_per_1000_ci_low,delta_incremental_per_1000_ci_high,incremental_bootstrap_fraction_positive,incremental_conclusion,delta_hajek_policy_value,delta_hajek_policy_value_ci_low,delta_hajek_policy_value_ci_high,hajek_policy_value_conclusion,delta_hajek_incremental_per_1000_targeted,delta_hajek_incremental_per_1000_ci_low,delta_hajek_incremental_per_1000_ci_high,hajek_incremental_conclusion,valid_policy_value_bootstrap_reps,valid_incremental_bootstrap_reps,valid_hajek_policy_value_bootstrap_reps,valid_hajek_incremental_bootstrap_reps
t_learner,expected_random,1.0,1.0,8.239936510889834e-18,-8.673617379884035e-19,1.3010426069826053e-18,0.379,inconclusive,8.215650382226158e-15,-9.992007221626409e-16,1.1102230246251565e-15,0.437,inconclusive,0.0,-4.336808689942018e-19,4.336808689942018e-19,inconclusive,4.440892098500626e-16,0.0,0.0,inconclusive,1000,1000,1000,1000
t_learner,treat_all,0.01,1.0,-0.0008243692395529627,-0.0011214334949779952,-0.0005100007808657131,0.0,worse,25.038915364728787,-1.8886419694890788,50.695496416223754,0.966,inconclusive,-0.0008286423548989298,-0.001125096206113559,-0.0005139731275487791,worse,4.2038773069698125,-23.59391799442105,32.52777939835584,inconclusive,1000,1000,1000,1000
t_learner,treat_all,0.02,1.0,-0.0006524349691349233,-0.0009193462342714622,-0.0003861077151960912,0.0,worse,20.573363933973326,5.240145471958785,34.5138963070928,0.997,beats,-0.0006582076049460742,-0.0009260042471817116,-0.0003906467366372399,worse,12.83003521521394,-3.707208882689462,27.600669442774755,inconclusive,1000,1000,1000,1000
t_learner,treat_all,0.1,1.0,-0.00034007176808655004,-0.0005482019629692715,-0.0001399895449529907,0.0,worse,6.369813166409507,3.300935289999051,9.30217372700343,1.0,beats,-0.0003671857981147981,-0.000575800884321539,-0.0001713153939587939,worse,4.667437899114002,1.3866876327715276,7.875775908464615,beats,1000,1000,1000,1000
t_learner,treat_all,0.11,1.0,-0.00032435680345240664,-0.000530243219843549,-0.0001229346001523796,0.002,worse,5.834910326265752,3.049918054721921,8.467951253464587,1.0,beats,-0.00035129611877818354,-0.0005574986475001597,-0.00014789379652543224,worse,4.43889664630243,1.4797492080916888,7.253629732507111,beats,1000,1000,1000,1000
t_learner,treat_all,0.12,1.0,-0.00034193244920160525,-0.0005376379621633596,-0.00014403868092160955,0.001,worse,5.111736206284779,2.467485843898129,7.5034879187572425,1.0,beats,-0.0003693722725336408,-0.0005684913112469405,-0.00017569484111155587,worse,3.878060230121359,1.1511728716348766,6.509870557398061,beats,1000,1000,1000,1000
t_learner,treat_all,0.2,1.0,-0.00027613074795359476,-0.0004556561093688109,-8.533742865222678e-05,0.004,worse,2.9618044145764744,1.4611067818922505,4.300360258566137,1.0,beats,-0.0003062301758068888,-0.0004839368418882423,-0.00011387231720285718,worse,2.4741666437241543,0.9101665540340058,3.9074555790592354,beats,1000,1000,1000,1000
t_learner,treat_all,0.4,1.0,-0.00020057317801374383,-0.0003694954790526735,-2.079260516566194e-05,0.015,worse,1.1269888628448088,0.5363606348738592,1.6762759021331806,1.0,beats,-0.0002295697209071532,-0.00039621305061909374,-4.819540761195709e-05,worse,1.012016484527138,0.4240305400826102,1.581000836303353,beats,1000,1000,1000,1000
t_learner,treat_all,0.44,1.0,-0.00019468949259086876,-0.0003627672747081402,-1.1330665428198256e-05,0.016,worse,0.9392151114030778,0.44331268048544503,1.409976693353357,1.0,beats,-0.000218139020114895,-0.00038529021302624334,-3.66560514903374e-05,worse,0.8629819955977074,0.35646222322372606,1.3495654069997,beats,1000,1000,1000,1000
t_learner,treat_all,0.6,1.0,-0.00020343961020575368,-0.00035985831298221513,-4.395530350875197e-05,0.009,worse,0.38467700871448507,0.0901451263484535,0.6710735298390729,0.996,beats,-0.0002109329897821443,-0.0003674533929506068,-4.359132583675849e-05,worse,0.3713753023003954,0.07219292589088894,0.667615622129762,beats,1000,1000,1000,1000
t_learner,treat_all,0.8,1.0,-0.0001769630258028152,-0.00033630135528960866,-1.0288049045377521e-05,0.019,worse,0.05019985239300939,-0.13299157025752392,0.23348497390144718,0.71,inconclusive,-0.00017631397032221623,-0.00033550403318874795,-5.552799761329005e-06,worse,0.05083971663626352,-0.13125840246789075,0.2310299303125391,inconclusive,1000,1000,1000,1000
t_learner,treat_all,1.0,1.0,7.806255641895632e-18,-8.673617379884035e-19,1.3010426069826053e-18,0.379,inconclusive,8.215650382226158e-15,-9.992007221626409e-16,1.1102230246251565e-15,0.437,inconclusive,-4.336808689942018e-19,-4.336808689942018e-19,4.336808689942018e-19,inconclusive,4.440892098500626e-16,0.0,0.0,inconclusive,1000,1000,1000,1000
